#
# Results on Saturday April 04 2020 17:52:56 UTC.
# USER AGENT: Mozilla/5.0 (Android 6.0; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0
# Design number was non-random = 2
#
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Field name.
# 9. Field value.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Field name.
# 9. Field value.
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,35,0,att-item1,NULL,quality,5
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,35,0,att-item1,NULL,likability,5
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,35,0,att-item1,NULL,informativity,3
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,35,0,att-item1,NULL,interest,6
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,35,0,att-item1,NULL,clarity,6
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,37,0,att-item3,NULL,quality,5
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,37,0,att-item3,NULL,likability,5
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,37,0,att-item3,NULL,informativity,2
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,37,0,att-item3,NULL,interest,6
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,37,0,att-item3,NULL,clarity,4
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,38,0,att-item4,NULL,quality,4
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,38,0,att-item4,NULL,likability,4
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,38,0,att-item4,NULL,informativity,3
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,38,0,att-item4,NULL,interest,3
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,38,0,att-item4,NULL,clarity,5
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,40,0,att-filler2,NULL,quality,5
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,40,0,att-filler2,NULL,likability,4
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,40,0,att-filler2,NULL,informativity,5
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,40,0,att-filler2,NULL,interest,3
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,40,0,att-filler2,NULL,clarity,5
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,39,0,att-filler1,NULL,quality,6
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,39,0,att-filler1,NULL,likability,5
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,39,0,att-filler1,NULL,informativity,5
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,39,0,att-filler1,NULL,interest,5
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,39,0,att-filler1,NULL,clarity,6
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,41,0,att-filler3,NULL,quality,6
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,41,0,att-filler3,NULL,likability,6
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,41,0,att-filler3,NULL,informativity,3
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,41,0,att-filler3,NULL,interest,4
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,41,0,att-filler3,NULL,clarity,4
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,36,0,att-item2,NULL,quality,5
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,36,0,att-item2,NULL,likability,4
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,36,0,att-item2,NULL,informativity,3
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,36,0,att-item2,NULL,interest,3
1586022777,ea41f6fc3b4db85c4171ab3c30631bfa,Attitude,36,0,att-item2,NULL,clarity,5
#
# Results on Saturday April 04 2020 18:59:02 UTC.
# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
# Design number was non-random = 3
#
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Field name.
# 9. Field value.
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,0,0,intro,NULL,age,22
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,0,0,intro,NULL,consent,yes
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,0,0,intro,NULL,language,English
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,17,0,filler-i1,NULL,read,yes
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,15,0,exp-pas-no-item4,4,read,yes
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,5,0,exp-act-no-item2,2,read,yes
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,4,0,exp-pas-dis-item1,1,read,yes
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,10,0,exp-act-dis-item3,3,read,yes
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,18,0,filler-i2,NULL,read,yes
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,19,0,filler-i3,NULL,read,yes
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,21,0,recall,NULL,filler1,Je mets tout dedans et il fait le reste
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,21,0,recall,NULL,item1,Il gardera en lui tous vos meilleurs souvenirs
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,21,0,recall,NULL,item2,Nous avons la fierté de vous garantir chaque goutte
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,21,0,recall,NULL,item3,Elle fait exactement ce que vous avez imaginé
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,21,0,recall,NULL,item4,La compétition est faite pour lui
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Form,21,0,recall,NULL,filler2,Pas de souvenir
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Question (NULL if none).
# 9. Answer.
# 10. Whether or not answer was correct (NULL if N/A).
# 11. Time taken to answer.
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Question,26,0,compr-filler1,NULL,Quel &eacute;tait le sens du slogan pour le <b>mixeur</b> ?,Cet appareil demande peu de travail en plus.,1,8838
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Question,27,0,compr-filler2,NULL,Quel &eacute;tait le sens du slogan pour l'<b>ordinateur portable</b> ?,Gr&acirc;ce &agrave; cet appareil%2C vous serez performant et rapide.,1,8468
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Question,23,0,compr-item2,NULL,Quel &eacute;tait le sens du slogan pour le <b>filtre &agrave; eau</b> ?,Cet appareil porte la digne responsabilit&eacute; de l’eau filtr&eacute;.,1,8669
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Question,25,0,compr-item4,NULL,Quel &eacute;tait le sens du slogan pour le <b>v&eacute;lo</b> ?,Ce v&eacute;lo l’emporte sur les autres avec solidit&eacute;.,1,10814
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Question,24,0,compr-item3,NULL,Quel &eacute;tait le sens du slogan pour l'<b>imprimante</b> ?,Le r&eacute;sultat ressemble de pr&egrave;s &agrave; vos id&eacute;es.,1,6884
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Question,22,0,compr-item1,NULL,Quel &eacute;tait le sens du slogan pour l'<b>appareil photo</b> ?,Cet appareil assure la p&eacute;rennit&eacute; des moment immortalis&eacute;s.,1,9552
1586026743,1a8e269d9c9f8085f6dd67acbfc90a4b,Question,28,0,distractor,NULL,Quel est le nombre maximal de mammif&egrave;res marins visibles en m&ecirc;me temps sur un plan de la vid&eacute;o?,Quatre,NULL,6131
